Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
19052481,239,PPB150,ST,N,TAKTRAPPSTEG TAKSTEGE 15-35GRSVART ( STT1535 ),0,N,J,N
19052483,406,PPB150,ST,N,UPPHÄNGNINGSBESLAG LÖS STEGERÖD ( RUB5003 ),0,N,J,N
19052484,406,PPB150,ST,N,UPPHÄNGNINGSBESLAG LÖS STEGESVART ( SUB5003 ),0,N,J,N
19052485,322,PPB150,ST,N,UPPHÄNGNINGSBESLAG LÖS STEGEZM ( UB5003 ),0,N,J,N
19052503,1025,PPD300,ST,N,INSTICKSBRUNN Ø50 MM RÖR 400MMMILLES,0,N,J,N
19052505,1165,PPD300,ST,N,INSTICKSBRUNN Ø90 MM RÖR 400MMMILLES,0,N,J,N
19052506,1240,PPD300,ST,J,TAKBRUNN Ø110MM. RÖR 400MMMILLES,0,N,J,N
19052508,1690,PPD300,ST,N,TAKBRUNN Ø110MM. RÖR 600MMMILLES,0,N,J,N
19052509,388,PPD300,ST,J,TAKBRUNNSIL Ø 75 MMMILLES,0,N,J,N
19052510,388,PPD300,ST,J,TAKBRUNNSIL Ø 90 MMMILLES,0,N,J,N
19052511,388,PPD300,ST,J,TAKBRUNNSIL Ø 110 MMMILLES,0,N,J,N
19052512,1660,PPD300,ST,N,PROTANBRUNN MÖRK Ø 90 MMRÖR 400MM MILLES,0,N,J,N
19052513,1690,PPD300,ST,N,PROTANBRUNN MÖRK Ø 110 MMRÖR 400MM MILLES,0,N,J,N
19052514,1910,PPD300,ST,N,PROTANBRUNN MÖRK Ø 110 MMRÖR 600MM MILLES,0,N,J,N
19052518,2920,PPD360,ST,N,REDUCERING & SLANGBROTTSVENTILMILLES,0,N,J,N
19052519,880,PPD360,ST,N,SNABBKOPPLING HANE 3-DELMILLES,0,N,J,N
19052520,1600,PPD360,ST,N,SNABBKOPPLING HONA 3-DELMILLES,0,N,J,N
19052521,426,PPD360,ST,N,SLANGKOPPLING 3-DEL SLANG-HONAMILLES,0,N,J,N
19052522,1470,PPD360,ST,N,GASOLSLANG 12.5MMILLES,0,N,J,N
19052523,2640,PPD360,ST,N,GASOLSLANG 25MMILLES,0,N,J,N
19052524,5875,PPD360,ST,N,TITANBRÄNNARE 400MMKLOCKA 35MM MILLES,0,N,J,N
19052525,7025,PPD360,ST,N,TITANBRÄNNARE 1000MMKLOCKA 55MM MILLES,0,N,J,N
19052526,1540,PPD360,ST,N,MONT.VERKTYG TRÄSKRUV/BRICKA600MM MILLES,0,N,J,N
19052528,734,PPD360,ST,N,TRYCKRULLE SILICON 28 MM GRÖNMILLES,0,N,J,N
19052529,734,PPD360,ST,N,TRYCKRULLE SILICON 45 MM RÖDMILLES,0,N,J,N
19052530,6150,PPD360,ST,N,TRYCKHJUL 120MM. 7.5KG RFRMILLES,0,N,J,N
19052531,3800,PPD360,ST,N,TRYCKHJUL 50 MM. 1.6 KG RFRMILLES,0,N,J,N
19052533,6600,PPD360,ST,N,TRYCKHJUL 130MM. 9.0KG RFRMILLES,0,N,J,N
19052548,64,PPD330,ST,J,TRÅDNIT 4X9.5 /ST TRYCKTÄT RFSVENSK INDUSTRITILLVERKNING,100,N,J,N
19052560,560,PPC660,KVM,N,PLÅT PLF FORMAT 2000X1250X0.6GRÅ RAL7038 (1ST=2.5M2),125,N,J,N
19052561,560,PPC660,KVM,N,PLÅT PLF FORMAT 2000X1250X0.6SILVER RAL9006 (1ST=2.5M2),125,N,J,N
19052562,560,PPC660,KVM,N,PLÅT PLF FORMAT 2000X1250X0.6VIT RAL9010 (1ST=2.5M2),125,N,J,N
19052563,560,PPC660,KVM,N,PLÅT PLF FORMAT 2000X1250X0.6TEGELRÖD RAL8004 (1ST=2.5M2),125,N,J,N
19052564,968,PPC670,KVM,N,PLÅT PLM FORMAT 2000X1250X0.6SVART RAL9017 (1ST=2.5M2),125,N,J,N
19052565,968,PPC670,KVM,N,PLÅT PLM FORMAT 2000X1250X0.6GRÅ RAL7038 (1ST=2.5M2),125,N,J,N
19052566,968,PPC670,KVM,N,PLÅT PLM FORMAT 2000X1250X0.6SILVER RAL9006 (1ST=2.5M2),125,N,J,N
19052567,968,PPC670,KVM,N,PLÅT PLM FORMAT 2000X1250X0.6T.RÖD RAL8004 (1ST=2.5M2),125,N,J,N
19052574,69,PPB150,ST,J,FÄSTE FALSAD PANNA SOLSYSTEMGÄNGAD ZM ( BF1400 ),0,N,J,N
19052575,62,PPB150,ST,J,C-PROFIL / DISTANS SOLSYSTEMPAPPTAK ZM ( CP1400 ),0,N,J,N
19052576,92,PPB150,ST,J,FÄSTPLATTA SLÄT 300X100MM ZM( FP1030 ),0,N,J,N
19052577,48,PPB150,ST,J,FOTPLATTA SOLSYSTEM 180X60X75ZM ( FP1400 ),0,N,J,N
19052579,736.85,PPB100,ST,J,STÅNDARE SKYDDSRÄCKE GB/TS1.1M ZM ( 100307 ) CW,0,N,J,N
19052580,177.07,PPB100,ST,J,INFÄSTNINGSSATS TS/GBI TAKF ZM PROFPL ( 410130P ),0,N,J,N
19052581,183.91,PPB100,ST,N,FÄSTÖGLA SLÄTA TAKSIGNALRÖD ( 420239 ) CW,0,N,J,N
19052582,444.21,PPB100,ST,J,GLIDSKYDD TAKSTEGE ZM( 470112 ) CW,0,N,J,N
