Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
70111416,7900,BG0250,ST,N,BÄNKBORD QUATTRO 220X220 CMTRÄ GRÅ,0,N,N,N
70111418,2365,BG0250,ST,N,VP2-SKYDD OBEHANDLAD,0,N,N,N
70111420,7900,BG0250,ST,N,BÄNKBORD QUATTRO 220X220 CMTRÄ BRUN,0,N,N,N
70111422,2115,BG0250,ST,N,VP1-SKYDD GRÅ,0,N,N,N
70111424,6625,BG0250,ST,N,BÄNKBORD RONDO BARN Ø 200 CMBRUN,0,N,N,N
70111426,2115,BG0250,ST,N,VP1-SKYDD SVART,0,N,N,N
70111432,9000,BG0250,ST,N,BÄNKBORD STOCKHOLM 180 CM BRUN,0,N,N,N
70111434,1830,BG0250,ST,N,VP1-SKYDD OBEHANDLAD,0,N,N,N
70111436,6350,BG0250,ST,N,PARKSOFFA GÖTEBORG GRÅ,0,N,N,N
70111444,11950,BG0250,ST,N,MATGRUPP HOLMSUND VIT1 BORD 1 SOFFA 2 FÅTÖLJER,0,N,N,N
70111446,14000,BG0250,ST,N,MATGRUPP HOLMSUND Ø 120 CM4 FÅTÖLJER VIT,0,N,N,N
70111450,7550,BG0250,ST,N,PARKSOFFA VIKING VIT/GRÅ,0,N,N,N
70111452,5800,BG0250,ST,N,PARKSOFFA VIKING SVART,0,N,N,N
70111454,5800,BG0250,ST,N,PARKSOFFA VIKING BRUN,0,N,N,N
70111458,2895,BG0250,ST,N,TRÄDGÅRDSBÄNK VIKING 190 CMBRUN,0,N,N,N
70111460,2895,BG0250,ST,N,TRÄDGÅRDSBÄNK VIKING 190 CMGRÅ,0,N,N,N
70111462,2895,BG0250,ST,N,TRÄDGÅRDSBÄNK VIKING 190 CMSVART,0,N,N,N
70111488,5800,BG0250,ST,N,PARKSOFFA 3-SITS KATTVIK GRÅ,0,N,N,N
70111492,5800,BG0250,ST,N,PARKSOFFA 3-SITS KATTVIK BRUN,0,N,N,N
70111502,11550,BG0250,ST,N,BÄNKBORD ROBUST PICNIC 180 CMRYGGSTÖD STÅLRAM SVART,0,N,N,N
70111506,9000,BG0250,ST,N,BÄNKBORD ROBUST PICNIC 180 CMSTÅLRAM SVART,0,N,N,N
70111510,3860,BG0250,ST,N,BÄNKBORD PICNIC 150 CM TRÄGRÅ,0,N,N,N
70111514,5075,BG0250,ST,N,BÄNKBORD PICNIC 150 CM TRÄGRÅ/VIT,0,N,N,N
70111518,9000,BG0250,ST,N,"BÄNKBORD ROBUST ""BARN"" 180 CMBRUN",0,N,N,N
70111522,10350,BG0250,ST,N,BÄNKBORD ROBUST LEK 125 CMSVART/BRUN,0,N,N,N
70111526,4230,BG0250,ST,N,TRÄDGÅRDSBÄNK STELLA 180 CMBRUN,0,N,N,N
70111532,4230,BG0250,ST,N,TRÄDGÅRDSBÄNK STELLA 180 CMSVART,0,N,N,N
70111548,12500,BG0250,ST,N,BÄNKBORD MED RYGG 175 CM BRUNWIX EDEN WOOD,0,N,N,N
70111550,1470,BG0250,ST,N,DYNA TILL DU O JA SOFFA OCHHAMMOCK SVART,0,N,N,N
70111552,9650,BG0250,ST,N,BÄNKBORD 175 CM BRUN WIXEDEN WOOD,0,N,N,N
70111554,1470,BG0250,ST,N,DYNA TILL DU O JA SOFFA OCHHAMMOCK GRÅ,0,N,N,N
70111556,12500,BG0250,ST,N,BÄNKBORD MED RYGG 175 CM SVARTWIX EDEN WOOD,0,N,N,N
70111558,1470,BG0250,ST,N,DYNA TILL DU O JA SOFFA OCHHAMMOCK BLÅ/VIT,0,N,N,N
70111560,9650,BG0250,ST,N,BÄNKBORD 175 CM SVART WIXEDEN WOOD,0,N,N,N
70111562,1470,BG0250,ST,N,DYNA TILL DU O JA SOFFA OCHHAMMOCK BLÅ,0,N,N,N
70111564,13350,BG0250,ST,N,BÄNKBORD MED RYGG NOVA175 CM BRUN,0,N,N,N
70111566,1470,BG0250,ST,N,DYNA TILL DU O JA SOFFA OCHHAMMOCK BEIGE,0,N,N,N
70111568,10400,BG0250,ST,N,BÄNKBORD NOVA 175 CM BRUN,0,N,N,N
70111572,13350,BG0250,ST,N,BÄNKBORD MED RYGG NOVA175 CM SVART,0,N,N,N
70111594,5075,BG0250,ST,N,SOLSÄNG STÄLLBAR TEAK CAPRIEDEN WOOD,0,N,N,N
70111596,3860,BG0250,ST,N,ADIRONDÄCKSTOL CAPRI TEAK,0,N,N,N
70111598,3860,BG0250,ST,N,DÄCKSTOL STÄLLBAR TEAK CAPRIEDEN WOOD,0,N,N,N
70111600,5825,BG0250,ST,N,DU O JA SOFFA SVART,0,N,N,N
70111602,5825,BG0250,ST,N,DU O JA SOFFA VIT,0,N,N,N
70111604,5825,BG0250,ST,N,DU O JA SOFFA GRÅ,0,N,N,N
70111606,5825,BG0250,ST,N,DU O JA SOFFA BRUN,0,N,N,N
70111608,9925,BG0250,ST,N,MATGRUPP TORPAREN VIT,0,N,N,N
70111610,9925,BG0250,ST,N,MATGRUPP TORPAREN SVART,0,N,N,N
72145099,12150,BG0250,ST,N,BÄNKBORD ROBUST 180 CM GRÅKOMPOSIT,0,N,N,N
72145101,13450,BG0250,ST,N,BÄNKBORD ROBUST MED RYGG180 CM BRUN KOMPOSIT,0,N,N,N
