Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
43803133,1970,POG20A,M,N,AF/ARMAFLEX AF-3-133RÖRISOLERING 2M/ST,8,N,N,N
43803140,2075,POG20A,M,N,AF/ARMAFLEX AF-3-140RÖRISOLERING 2M/ST,8,N,N,N
43803160,2390,POG20A,M,N,AF/ARMAFLEX AF-3-160RÖRISOLERING 2M/ST,6,N,N,N
43804006,251,POG20A,M,N,AF/ARMAFLEX AF-4-006RÖRISOLERING 2M/ST,120,N,N,N
43804025,443,POG20A,M,N,AF/ARMAFLEX AF-4-025RÖRISOLERING 2M/ST,56,N,N,N
43804030,464,POG20A,M,N,AF/ARMAFLEX AF-4-030RÖRISOLERING 2M/ST,40,N,N,N
43804125,2090,POG20A,M,N,AF/ARMAFLEX AF-4-125RÖRISOLERING 2M/ST,8,N,N,N
43804134,2165,POG20A,M,N,AF/ARMAFLEX AF-4-133RÖRISOLERING 2M/ST,6,N,N,N
43804168,2825,POG20A,M,N,AF/ARMAFLEX AF-4-168RÖRISOLERING 2M/ST,4,N,N,N
43805018,488,POG20A,M,N,AF/ARMAFLEX AF-5-018RÖRISOLERING 2M/ST,42,N,N,N
43805030,624,POG20A,M,N,AF/ARMAFLEX AF-5-030RÖRISOLERING 2M/ST,32,N,N,N
43805048,974,POG20A,M,N,AF/ARMAFLEX AF-5-048RÖRISOLERING 2M/ST,16,N,N,N
43805060,1195,POG20A,M,N,AF/ARMAFLEX AF-5-060RÖRISOLERING 2M/ST,12,N,N,N
43805064,1265,POG20A,M,N,AF/ARMAFLEX AF-5-064RÖRISOLERING 2M/ST,12,N,N,N
43805070,1330,POG20A,M,N,AF/ARMAFLEX AF-5-070RÖRISOLERING 2M/ST,12,N,N,N
43805076,1415,POG20A,M,N,AF/ARMAFLEX AF-5-076RÖRISOLERING 2M/ST,10,N,N,N
43805089,1570,POG20A,M,N,AF/ARMAFLEX AF-5-089RÖRISOLERING 2M/ST,8,N,N,N
43805108,2245,POG20A,M,N,AF/ARMAFLEX AF-5-108RÖRISOLERING 2M/ST,6,N,N,N
43805114,2365,POG20A,M,N,AF/ARMAFLEX AF-5-114RÖRISOLERING 2M/ST,6,N,N,N
43805125,2535,POG20A,M,N,AF/ARMAFLEX AF-5-125RÖRISOLERING 2M/ST,6,N,N,N
43805141,2885,POG20A,M,N,AF/ARMAFLEX AF-5-140RÖRISOLERING 2M/ST,4,N,N,N
43805168,3480,POG20A,M,N,AF/ARMAFLEX AF-5-168RÖRISOLERING 2M/ST,4,N,N,N
43806060,1540,POG20A,M,N,AF/ARMAFLEX AF-6-060RÖRISOLERING 2M/ST,10,N,N,N
43806064,1610,POG20A,M,N,AF/ARMAFLEX AF-6-064RÖRISOLERING 2M/ST,10,N,N,N
43806070,1745,POG20A,M,N,AF/ARMAFLEX AF-6-070RÖRISOLERING 2M/ST,8,N,N,N
43806076,1835,POG20A,M,N,AF/ARMAFLEX AF-6-076RÖRISOLERING 2M/ST,8,N,N,N
43806089,2030,POG20A,M,N,AF/ARMAFLEX AF-6-089RÖRISOLERING 2M/ST,6,N,N,N
43806102,2420,POG20A,M,N,AF/ARMAFLEX AF-6-102RÖRISOLERING 2M/ST,6,N,N,N
43806108,2850,POG20A,M,N,AF/ARMAFLEX AF-6-108RÖRISOLERING 2M/ST,4,N,N,N
43806114,3070,POG20A,M,N,AF/ARMAFLEX AF-6-114RÖRISOLERING 2M/ST,4,N,N,N
43811060,376,POG20A,M,N,AF/ARMAFLEX AF-1-060-AFÖRLIMMAD RÖRISOLERING 2M/ST,36,N,N,N
43811089,586,POG20A,M,N,AF/ARMAFLEX AF-1-089-AFÖRLIMMAD RÖRISOLERING 2M/ST,22,N,N,N
43812012,212,POG20A,M,N,AF/ARMAFLEX AF-2-012-AFÖRLIMMAD RÖRISOLERING 2M/ST,168,N,N,N
43812030,297,POG20A,M,N,AF/ARMAFLEX AF-2-030-AFÖRLIMMAD RÖRISOLERING 2M/ST,72,N,N,N
43812064,572,POG20A,M,N,AF/ARMAFLEX AF-2-064-AFÖRLIMMAD RÖRISOLERING 2M/ST,30,N,N,N
43814064,1045,POG20A,M,N,AF/ARMAFLEX AF-4-064-AFÖRLIMMAD RÖRISOLERING 2M/ST,18,N,N,N
43821006,8625,POG20A,FRP,N,AF/ARMAFLEX I RULLE AF-1-006/ELÄNGD 90M SLANG,0,N,N,N
43821008,7825,POG20A,FRP,N,AF/ARMAFLEX I RULLE AF-1-008/ELÄNGD 80M SLANG,0,N,N,N
43821010,6250,POG20A,FRP,N,AF/ARMAFLEX I RULLE AF-1-010/ELÄNGD 60M SLANG,0,N,N,N
43821012,5500,POG20A,FRP,N,AF/ARMAFLEX I RULLE AF-1-012/ELÄNGD 50M SLANG,0,N,N,N
43821015,4620,POG20A,FRP,N,AF/ARMAFLEX I RULLE AF-1-015/ELÄNGD 40M SLANG,0,N,N,N
43821018,4300,POG20A,FRP,N,AF/ARMAFLEX I RULLE AF-1-018/ELÄNGD 35M SLANG,0,N,N,N
43822006,7775,POG20A,FRP,N,AF/ARMAFLEX I RULLE AF-2-006/ELÄNGD 60M SLANG,0,N,N,N
43822008,7375,POG20A,FRP,N,AF/ARMAFLEX I RULLE AF-2-008/ELÄNGD 55M SLANG,0,N,N,N
43822010,5100,POG20A,FRP,N,AF/ARMAFLEX I RULLE AF-2-010/ELÄNGD 35M SLANG,0,N,N,N
43822018,5675,POG20A,FRP,N,AF/ARMAFLEX I RULLE AF-2-018/ELÄNGD 30M SLANG,0,N,N,N
43850699,13200,POG48B,FRP,N,ARMAFLEX ULTIMA UD-06-99/EOLIMMAD 6MM RULLE 1X15M,0,N,N,N
43850915,235,POG24B,M,N,ARMAFLEX ULTIMA UD-09X015-AFÖRLIMMAD RÖRISOLERING 2M/ST,180,N,N,N
43850918,246,POG24B,M,N,ARMAFLEX ULTIMA UD-09X018-AFÖRLIMMAD RÖRISOLERING 2M/ST,150,N,N,N
43850922,260,POG24B,M,N,ARMAFLEX ULTIMA UD-09X022-AFÖRLIMMAD RÖRISOLERING 2M/ST,124,N,N,N
43850928,272,POG24B,M,N,ARMAFLEX ULTIMA UD-09X028-AFÖRLIMMAD RÖRISOLERING 2M/ST,96,N,N,N
43850935,309,POG24B,M,N,ARMAFLEX ULTIMA UD-09X035-AFÖRLIMMAD RÖRISOLERING 2M/ST,70,N,N,N
43850942,333,POG24B,M,N,ARMAFLEX ULTIMA UD-09X042-AFÖRLIMMAD RÖRISOLERING 2M/ST,56,N,N,N
43850948,362,POG24B,M,N,ARMAFLEX ULTIMA UD-09X048-AFÖRLIMMAD RÖRISOLERING 2M/ST,52,N,N,N
43850954,389,POG24B,M,N,ARMAFLEX ULTIMA UD-09X054-AFÖRLIMMAD RÖRISOLERING 2M/ST,42,N,N,N
43850960,435,POG24B,M,N,ARMAFLEX ULTIMA UD-09X060-AFÖRLIMMAD RÖRISOLERING 2M/ST,40,N,N,N
43850976,551,POG24B,M,N,ARMAFLEX ULTIMA UD-09X076-AFÖRLIMMAD RÖRISOLERING 2M/ST,32,N,N,N
43850989,592,POG24B,M,N,ARMAFLEX ULTIMA UD-09X089-AFÖRLIMMAD RÖRISOLERING 2M/ST,24,N,N,N
43852518,626,POG24B,M,N,ARMAFLEX ULTIMA UD-25X018-AFÖRLIMMAD RÖRISOLERING 2M/ST,46,N,N,N
43852522,661,POG24B,M,N,ARMAFLEX ULTIMA UD-25X022-AFÖRLIMMAD RÖRISOLERING 2M/ST,36,N,N,N
43852528,716,POG24B,M,N,ARMAFLEX ULTIMA UD-25X028-AFÖRLIMMAD RÖRISOLERING 2M/ST,36,N,N,N
43852535,787,POG24B,M,N,ARMAFLEX ULTIMA UD-25X035-AFÖRLIMMAD RÖRISOLERING 2M/ST,28,N,N,N
43852542,877,POG24B,M,N,ARMAFLEX ULTIMA UD-25X042-AFÖRLIMMAD RÖRISOLERING 2M/ST,24,N,N,N
43852548,961,POG24B,M,N,ARMAFLEX ULTIMA UD-25X048-AFÖRLIMMAD RÖRISOLERING 2M/ST,20,N,N,N
43852554,1195,POG24B,M,N,ARMAFLEX ULTIMA UD-25X054-AFÖRLIMMAD RÖRISOLERING 2M/ST,18,N,N,N
43852560,1330,POG24B,M,N,ARMAFLEX ULTIMA UD-25X060-AFÖRLIMMAD RÖRISOLERING 2M/ST,18,N,N,N
43852576,1650,POG24B,M,N,ARMAFLEX ULTIMA UD-25X076-AFÖRLIMMAD RÖRISOLERING 2M/ST,12,N,N,N
43852589,1770,POG24B,M,N,ARMAFLEX ULTIMA UD-25X089-AFÖRLIMMAD RÖRISOLERING 2M/ST,12,N,N,N
43860699,17450,POG48B,FRP,N,ARMAFLEX ULTIMA UD-06-99/EAFÖRLIMMAD 6MM RULLE 1X15M,0,N,N,N
43860999,16500,POG48B,FRP,N,ARMAFLEX ULTIMA UD-09-99/EAFÖRLIMMAD 9MM RULLE 1X10M,0,N,N,N
