Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
550136,71,CA580B,ST,J,KOPPLINGSPLÅT 102120x80x8MM FASAD KANT,0,N,N,N
550138,160,CA535B,ST,J,LMKS/RR M12 A4INGJUTNINGSHYLSA,0,N,N,N
550139,188,CA535B,ST,N,LMKS/RR M16 A4INGJUTNINGSHYLSA,0,N,N,N
550140,288,CA535B,ST,N,LMKS/RR M20 A4INGJUTNINGSHYLSA,0,N,N,N
550141,462,CA535B,ST,N,LMKS/RR M24 A4INGJUTNINGSHYLSA,0,N,N,N
550142,685,CA535B,ST,J,LMKS/RR M30 A4INGJUTNINGSHYLSA,0,N,N,N
550145,51,CA640B,ST,N,FYRKANTSBRICKA S4BX-24 OBH90X80X10 MED EXCREN. HÅL 26x40,0,N,N,N
550152,4.9,CA1550,M,J,DISTANSLINJAL DRUPAK 15L=1M,3000,N,N,N
550153,5.1,CA1550,M,J,DISTANSLINJAL DRUPAK 20L=1M,3000,N,N,N
550154,5.5,CA1550,M,J,DISTANSLINJAL DRUPAK 25L=1M,2700,N,N,N
550155,5.8,CA1550,M,J,DISTANSLINJAL DRUPAK 30L=1M,2700,N,N,N
550156,6.1,CA1550,M,N,DISTANSLINJAL DRUPAK 35L=1M,2340,N,N,N
550157,257,CA2150,M2,J,FUNDAMENTFORM EASYFORM 7500.75X2.25 M,1.69,N,N,N
550161,71.5,CA4150,ST,N,RIVESTOP SS 17X48MMFÖR HÅL 18-21MM INV,400,N,N,N
550162,71.5,CA4150,ST,N,RIVESTOP SS 21X48MMFÖR HÅL 22-24MM INV,300,N,N,N
550163,78.5,CA4150,ST,J,RIVESTOP SS 24X50MMFÖR HÅL 25-28MM INV,0,N,N,N
550164,82.5,CA4150,ST,J,"RIVESTOP SS 17X70MMFÖR HÅL 17,5-22MM INV",0,N,N,N
550165,82.5,CA4150,ST,J,RIVESTOP SS 21X70MMFÖR HÅL 22-24MM INV,0,N,N,N
550166,86,CA4150,ST,J,RIVESTOP SS 24X70MMFÖR HÅL 25-28MM INV,0,N,N,N
550167,52.5,CA2950,ST,J,BETONGPLUGG RIVEPLUG 22TILL KONA 22/20,180,N,N,N
550201,330,CA595B,ST,N,GRUNDSKRUV SUJ/P 16 FZV,0,N,N,N
550213,422,CA6650,ST,J,RESNINGSANKARE SA-TTU-10.0-390DUBBELSIDIG FZV (TPA),0,N,N,N
550214,628,CA6650,ST,N,RESNINGSANKARE SA-TTU-12.5-500DUBBELSIDIG FZV (TPA),0,N,N,N
550215,785,CA6650,ST,N,RESNINGSANKARE SA-TTU-17.0-500DUBBELSIDIG FZV (TPA),0,N,N,N
550216,172,CA6650,ST,J,RESNINGSANKARE SA-TTU-5.0-290DUBBELSIDIG FZV (TPA),0,N,N,N
550217,310,CA6650,ST,J,RESNINGSANKARE SA-TTU-7.5-320DUBBELSIDIG FZV (TPA),0,N,N,N
550237,13.4,CA565A,ST,J,FOTANKARE MAX M12X 57 FZB,0,N,N,N
550238,36.5,CA570A,ST,J,FOTANKARE MAX M12X 70 A4,0,N,N,N
550239,13.4,CA5650,ST,J,FOTANKARE MAX M12X 70 FZB,0,N,N,N
550240,36.5,CA570B,ST,J,FOTANKARE MAX M12X100 A4,0,N,N,N
550241,14.4,CA565A,ST,J,FOTANKARE MAX M12X100 FZB,0,N,N,N
550242,57,CA570A,ST,J,FOTANKARE MAX M16X 70 A4,0,N,N,N
550243,18.8,CA5650,ST,J,FOTANKARE MAX M16X 70 FZB,0,N,N,N
550244,59.5,CA570A,ST,J,FOTANKARE MAX M16X140 A4,0,N,N,N
550245,24,CA5650,ST,J,FOTANKARE MAX M16X140 FZB,0,N,N,N
550247,98,CA570A,ST,J,FOTANKARE MAX M20X 90 A4,0,N,N,N
550248,36,CA565A,ST,J,FOTANKARE MAX M20X 90 FZB,0,N,N,N
550249,112,CA5700,ST,J,FOTANKARE MAX M20X180 A4,0,N,N,N
550250,42.5,CA5650,ST,J,FOTANKARE MAX M20X180 FZB,0,N,N,N
550251,46.5,CA5650,ST,J,FOTANKARE MAX M20X240 FZB,0,N,N,N
550252,159,CA5700,ST,J,FOTANKARE MAX M24X200 A4,0,N,N,N
550253,57.5,CA5650,ST,J,FOTANKARE MAX M24X200 FZB,0,N,N,N
550254,105,CA565A,ST,J,FOTANKARE MAX M30X270 FZB,0,N,N,N
550255,6.1,CA6640,ST,J,KULANKARE 1.3 TON 120MM,0,N,N,N
550256,18.1,CA6640,ST,J,KULANKARE 5.0 TON 120MM,0,N,N,N
550257,13.4,CA645B,ST,J,GÄNGAD HYLSA LMB M12X50 OBH,0,N,N,N
550258,30,CA645B,ST,J,GÄNGAD HYLSA LMB M16X60 OBH,0,N,N,N
550259,44.5,CA645B,ST,J,GÄNGAD HYLSA LMB M20X70 OBH,0,N,N,N
550260,57.5,CA645A,ST,J,GÄNGAD HYLSA LMB M24X70 OBH,0,N,N,N
550261,15.5,CA645B,ST,J,GÄNGAD HYLSA LMG M12X50 FZV,0,N,N,N
550262,12.5,CA645B,ST,J,GÄNGAD HYLSA LMG M12X50 OBH,0,N,N,N
550263,19.8,CA645B,ST,J,GÄNGAD HYLSA LMG M16X50 FZB,0,N,N,N
550264,24.5,CA645B,ST,J,GÄNGAD HYLSA LMG M16X50 FZV,0,N,N,N
550265,19.4,CA645B,ST,J,GÄNGAD HYLSA LMG M16X50 OBH,0,N,N,N
550267,26,CA645B,ST,J,GÄNGAD HYLSA LMG M16X70 FZV,0,N,N,N
550268,23.5,CA645B,ST,J,GÄNGAD HYLSA LMG M16X70 OBH,0,N,N,N
550269,39,CA645B,ST,J,GÄNGAD HYLSA LMG M20X80FZB,0,N,N,N
550270,52.5,CA645B,ST,J,GÄNGAD HYLSA LMG M20X80 FZV,0,N,N,N
550271,37.5,CA645A,ST,J,GÄNGAD HYLSA LMG M20X80 OBH,0,N,N,N
550272,54.5,CA645B,ST,J,GÄNGAD HYLSA LMG M24X 80 FZB,0,N,N,N
550273,63.5,CA645A,ST,J,GÄNGAD HYLSA LMG M24X 80 FZV,0,N,N,N
550274,55.5,CA645A,ST,J,GÄNGAD HYLSA LMG M24X 80 OBH,0,N,N,N
550275,101,CA645B,ST,J,GÄNGAD HYLSA LMG M27X 90 OBH,0,N,N,N
550276,111,CA645A,ST,J,GÄNGAD HYLSA LMG M30X 90 OBH,0,N,N,N
550277,171,CA645B,ST,J,GÄNGAD HYLSA LMG M36X110 OBH,0,N,N,N
550278,24.5,CA650B,ST,J,GÄNGAD HYLSA LMG/RR M10X40 A4,0,N,N,N
550279,32,CA650B,ST,J,GÄNGAD HYLSA LMG/RR M12X50 A4,0,N,N,N
550280,48.5,CA650B,ST,N,GÄNGAD HYLSA LMG/RR M16X50 A4,0,N,N,N
550281,61,CA650B,ST,J,GÄNGAD HYLSA LMG/RR M16X70 A4,0,N,N,N
550282,107,CA650B,ST,J,GÄNGAD HYLSA LMG/RR M20X70 A4,0,N,N,N
550283,146,CA650B,ST,J,GÄNGAD HYLSA LMG/RR M24X80 A4,0,N,N,N
550285,44.5,CA530A,ST,J,INGJUTNINGSHYLSA LMPL M12MED MÅLAD BRICKA 70X70MM,0,N,N,N
550288,55.5,CA6700,ST,J,"LYFTWIRE 2,5T 260/70/10, SLING",0,N,N,N
550289,96.5,CA6700,ST,J,"LYFTWIRE 4,0T 330/75/12, SLING",0,N,N,N
550290,136,CA6700,ST,J,"LYFTWIRE 5,2T 385/80/14, SLING",0,N,N,N
550291,132,CA6700,ST,J,"LYFTWIRE 5,2T 340/80/14, SLINGSPECIAL",750,N,N,N
550292,6,CA550B,ST,J,RÖRHYLSA RHS B M8X50 FZB,0,N,N,N
550293,7.4,CA550B,ST,N,RÖRHYLSA RHS B M10X50 FZB,0,N,N,N
550294,10.1,CA550B,ST,J,RÖRHYLSA RHS B M12X60 FZB,0,N,N,N
550295,14.2,CA550B,ST,J,RÖRHYLSA RHS B M16X70 FZB,0,N,N,N
5502961,8.7,CA550B,ST,J,RÖRHYLSA RHS H M12X55 FZB,0,N,N,N
550297,228,CA535B,ST,N,LMPL M12 HELT A4KOMBIRÄCKFÄSTE M12 (47-211),50,N,N,N
550299,172,CA5600,ST,N,RÄCKESINFÄSTNING M10 CC100MED PLÅT 130x80MM,0,N,N,N
550303,470,CA6750,ST,J,LYFTWIREDON GOLIATH M12KORT WIRE,0,N,N,N
550304,514,CA6750,ST,J,LYFTWIREDON GOLIATH M16KORT WIRE,0,N,N,N
550305,619,CA675A,ST,J,LYFTWIREDON THS1 (GOLIATH) M16LÅNG WIRE,0,N,N,N
550306,1030,CA6750,ST,J,LYFTWIREDON GOLIATH M20KORT WIRE,0,N,N,N
550307,809,CA675A,ST,J,LYFTWIREDON THS1 (GOLIATH) M20LÅNG WIRE,0,N,N,N
550308,1310,CA675A,ST,J,LYFTWIREDON GOLIATH M24KORT WIRE,0,N,N,N
550309,891,CA675A,ST,J,LYFTWIREDON THS1 (GOLIATH) M24LÅNG WIRE,0,N,N,N
550310,1425,CA675A,ST,J,LYFTWIREDON GOLIATH M30KORT WIRE,0,N,N,N
550311,1870,CA675A,ST,J,LYFTWIREDON THS1 (GOLIATH) M30LÅNG WIRE,0,N,N,N
550312,9.1,CA490B,ST,J,GSK M10 GÄNGAD SPIKKRAGE,0,N,N,N
