Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
7050340,32.5,RP3510,STK,J,REDUCERING 1/2 X 3/8RÖR-RÖR U41-86  9600,0,N,N,N
7050360,41.5,RP3510,STK,J,REDUCERING 5/8 X 3/8RÖR-RÖR U41-106  9600,0,N,N,N
7050380,39.5,RP3510,STK,J,REDUCERING 5/8 X 1/2RÖR-RÖR U41-108  9600,0,N,N,N
7050400,120,RP3510,STK,J,REDUCERING 3/4 X 3/8RÖR-RÖR U41-126  9600,0,N,N,N
7050420,135,RP3510,STK,J,REDUCERING 3/4 X 1/2RÖR-RÖR U41-128  9600,0,N,N,N
7050440,48.5,RP3510,STK,J,REDUCERING 3/4 X 5/8RÖR-RÖR U41-1210  9600,0,N,N,N
7050460,95,RP3510,STK,J,REDUCERING 7/8 X 3/8RÖR-RÖR U41-1406  9600,0,N,N,N
7050480,96,RP3510,STK,J,REDUCERING 7/8 X 1/2RÖR-RÖR U41-1408  9600,0,N,N,N
7050500,96.5,RP3510,STK,J,REDUCERING 7/8 X 5/8RÖR-RÖR U41-1410  9600,0,N,N,N
7050520,100,RP3510,STK,J,REDUCERING 7/8 X 3/4RÖR-RÖR U41-1412  9600,0,N,N,N
7050540,173,RP3510,STK,J,REDUCERING 1 1/8 X 1/2RÖR-RÖR U41-1808 9600,0,N,N,N
7050560,99,RP3510,STK,J,REDUCERING 1 1/8 X 5/8RÖR-RÖR U41-1810  9600,0,N,N,N
7050580,104,RP3510,STK,J,REDUCERING 1 1/8 X 3/4RÖR-RÖR U41-1812  9600,0,N,N,N
7050600,106,RP3510,STK,J,REDUCERING 1 1/8 X 7/8RÖR-RÖR U41-1814  9600,0,N,N,N
7050620,206,RP3510,STK,J,REDUCERING 1 3/8 X 5/8RÖR-RÖR U41-2210  9600,0,N,N,N
7050630,234,RP3510,STK,J,REDUCERING 1 3/8 X 3/4RÖR-RÖR U41-2212  9600,0,N,N,N
7050640,199,RP3510,STK,J,REDUCERING 1 3/8 X 7/8RÖR-RÖR U41-2214  9600,0,N,N,N
7050660,143,RP3510,STK,J,REDUCERING 1 3/8 X 1 1/8RÖR-RÖR U41-2218 9600,0,N,N,N
7050680,329,RP3510,STK,J,REDUCERING 1 5/8 7/8RÖR-RÖR U41-2614  9600,0,N,N,N
7050700,235,RP3510,STK,J,REDUCERING 1 5/8 X 1 1/8RÖR-RÖR U41-2618  9600,0,N,N,N
