Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
6442645,5850,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-800-700FFZV HAGAB,0,N,N,N
6442646,5150,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-800-800FFZV HAGAB,0,N,N,N
6442647,6900,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-800-1000FFZV HAGAB,0,N,N,N
6442648,8725,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-800-1200FFZV HAGAB,0,N,N,N
6442649,10050,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-800-1600FFZV HAGAB,0,N,N,N
6442650,5900,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-900-600FFZV HAGAB,0,N,N,N
6442651,6975,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-900-900FFZV HAGAB,0,N,N,N
6442652,9500,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-900-1200FFZV HAGAB,0,N,N,N
6442653,10250,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-900-1400FFZV HAGAB,0,N,N,N
6442654,5450,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1000-400FFZV HAGAB,0,N,N,N
6442655,5825,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1000-500FFZV HAGAB,0,N,N,N
6442656,6225,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1000-600FFZV HAGAB,0,N,N,N
6442657,6600,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1000-700FFZV HAGAB,0,N,N,N
6442658,7000,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1000-800FFZV HAGAB,0,N,N,N
6442659,7400,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1000-900FFZV HAGAB,0,N,N,N
6442660,7775,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1000-1000FFZV HAGAB,0,N,N,N
6442661,10200,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1000-1200FFZV HAGAB,0,N,N,N
6442662,12500,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1000-1800FFZV HAGAB,0,N,N,N
6442663,5850,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1100-400FFZV HAGAB,0,N,N,N
6442664,7525,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1100-800FFZV HAGAB,0,N,N,N
6442665,7000,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1200-500FFZV HAGAB,0,N,N,N
6442666,7450,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1200-600FFZV HAGAB,0,N,N,N
6442667,7875,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1200-700FFZV HAGAB,0,N,N,N
6442668,8325,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1200-800FFZV HAGAB,0,N,N,N
6442669,8775,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1200-900FFZV HAGAB,0,N,N,N
6442670,9225,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1200-1000FFZV HAGAB,0,N,N,N
6442671,12450,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1200-1200FFZV HAGAB,0,N,N,N
6442672,12850,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1200-1300FFZV HAGAB,0,N,N,N
6442673,13750,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1200-1500FFZV HAGAB,0,N,N,N
6442674,14200,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1200-1600FFZV HAGAB,0,N,N,N
6442675,15550,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1300-1600FFZV HAGAB,0,N,N,N
6442676,7900,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1400-300FFZV HAGAB,0,N,N,N
6442677,8900,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1400-500FFZV HAGAB,0,N,N,N
6442678,9400,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1400-600FFZV HAGAB,0,N,N,N
6442679,10400,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1400-800FFZV HAGAB,0,N,N,N
6442680,15800,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1400-1200FFZV HAGAB,0,N,N,N
6442681,16800,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1400-1400FFZV HAGAB,0,N,N,N
6442682,19750,PNL75B,ST,N,YTTERVÄGGSGALLE RYHA-1400-2000FFZV HAGAB,0,N,N,N
6442683,9275,PNL75B,ST,N,YTTERVÄGGSGALLER RYHA-1500-400FFZV HAGAB,0,N,N,N
